,행정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
220,동선동4가,8,2059.0,0.003885381253035454,0.38853812530354537
221,내자동,8,83.0,0.0963855421686747,9.63855421686747
222,금호동2가,8,9736.0,0.0008216926869350862,0.08216926869350863
223,문래동6가,8,10728.0,0.0007457121551081282,0.07457121551081282
224,창전동,8,14683.0,0.0005448477831505824,0.054484778315058234
225,영등포동6가,6,1876.0,0.0031982942430703624,0.31982942430703626
226,남대문로3가,6,10.0,0.6,60.0
227,명동1가,6,11.0,0.5454545454545454,54.54545454545454
228,흥인동,6,2266.0,0.00264783759929391,0.264783759929391
229,영등포동8가,6,4967.0,0.0012079726192872962,0.12079726192872962
230,충무로1가,6,16.0,0.375,37.5
231,동소문동3가,6,152.0,0.039473684210526314,3.9473684210526314
232,양평동2가,6,7060.0,0.0008498583569405099,0.08498583569405099
233,청파동3가,6,3541.0,0.0016944365998305564,0.16944365998305563
234,서계동,6,4812.0,0.0012468827930174563,0.12468827930174563
235,보문동5가,6,1788.0,0.003355704697986577,0.33557046979865773
236,양평동5가,6,5892.0,0.0010183299389002036,0.10183299389002036
237,남영동,6,604.0,0.009933774834437087,0.9933774834437087
238,청파동2가,6,3306.0,0.0018148820326678765,0.18148820326678766
239,동소문동1가,6,922.0,0.006507592190889371,0.6507592190889371
240,무교동,6,8.0,0.75,75.0
241,을지로4가,6,120.0,0.05,5.0
242,무악동,6,7961.0,0.0007536741615374953,0.07536741615374952
243,태평로2가,6,49.0,0.12244897959183673,12.244897959183673
244,관철동,6,244.0,0.02459016393442623,2.459016393442623
245,홍익동,6,3772.0,0.0015906680805938495,0.15906680805938495
246,용강동,6,7416.0,0.0008090614886731392,0.08090614886731393
247,상수동,6,7409.0,0.0008098258874342017,0.08098258874342017
248,명동2가,6,523.0,0.011472275334608031,1.147227533460803
249,평창동,6,11621.0,0.0005163066861715859,0.05163066861715859
250,종로2가,6,53.0,0.11320754716981132,11.320754716981133
251,적선동,6,38.0,0.15789473684210525,15.789473684210526
252,동소문동4가,6,3014.0,0.0019907100199071004,0.19907100199071004
253,충정로2가,6,1126.0,0.0053285968028419185,0.5328596802841918
254,영천동,6,2963.0,0.0020249746878164025,0.20249746878164024
255,묘동,4,34.0,0.11764705882352941,11.76470588235294
256,원효로3가,4,2093.0,0.0019111323459149545,0.19111323459149546
257,원효로1가,4,6857.0,0.0005833454863642993,0.05833454863642993
258,동숭동,4,3619.0,0.0011052777010223818,0.11052777010223819
259,홍파동,4,1587.0,0.002520478890989288,0.2520478890989288
260,경운동,4,255.0,0.01568627450980392,1.5686274509803921
261,수송동,4,239.0,0.016736401673640166,1.6736401673640167
262,삼선동4가,4,3109.0,0.001286587327114828,0.1286587327114828
263,논현2동,4,,,
264,온수동,4,8757.0,0.00045677743519470136,0.04567774351947013
265,영등포동7가,4,9893.0,0.0004043262913170929,0.04043262913170929
266,응봉동,4,14941.0,0.00026771969747674187,0.026771969747674186
267,양평동3가,4,12013.0,0.00033297261300258056,0.033297261300258056
268,상왕십리동,4,3660.0,0.001092896174863388,0.1092896174863388
269,삼선동1가,4,4193.0,0.0009539709038874314,0.09539709038874314
270,냉천동,4,3046.0,0.0013131976362442547,0.13131976362442546
271,천왕동,4,16219.0,0.0002466243294901042,0.024662432949010417
272,명륜1가,4,4207.0,0.0009507962918944616,0.09507962918944615
273,궁동,4,13963.0,0.0002864713886700566,0.028647138867005657
274,당산동2가,4,5396.0,0.0007412898443291327,0.07412898443291327
275,필동1가,4,172.0,0.023255813953488372,2.3255813953488373
276,본동,4,10796.0,0.0003705075954057058,0.037050759540570584
277,안국동,4,251.0,0.01593625498007968,1.593625498007968
278,낙원동,4,848.0,0.0047169811320754715,0.4716981132075472
279,회현동1가,4,3211.0,0.0012457178449081284,0.12457178449081284
280,충무로4가,4,1566.0,0.002554278416347382,0.2554278416347382
281,도원동,4,5306.0,0.0007538635506973238,0.07538635506973237
