,행정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
67,돈암동,4,38248.0,0.00010458063166701528,0.010458063166701528
68,가산동,4,24695.0,0.0001619761085239927,0.01619761085239927
69,미아동,4,127245.0,3.14354198593265e-05,0.00314354198593265
70,원서동,4,1765.0,0.0022662889518413596,0.22662889518413595
71,응암동,4,83446.0,4.79351916209285e-05,0.00479351916209285
72,안국동,4,251.0,0.01593625498007968,1.593625498007968
73,수유동,4,101608.0,3.9366978978033224e-05,0.003936697897803322
74,이태원동,4,14683.0,0.0002724238915752912,0.027242389157529117
75,장충동2가,4,2851.0,0.0014030164854437039,0.14030164854437038
76,효창동,4,10685.0,0.00037435657463734206,0.03743565746373421
77,태평로1가,4,4.0,1.0,100.0
78,성산동,4,47572.0,8.408307407718826e-05,0.008408307407718826
79,흑석동,4,29961.0,0.00013350689229331465,0.013350689229331466
80,인사동,4,82.0,0.04878048780487805,4.878048780487805
81,개포동,4,75386.0,5.3060249913777095e-05,0.005306024991377709
82,통의동,4,319.0,0.012539184952978056,1.2539184952978055
83,명륜2가,4,3025.0,0.001322314049586777,0.1322314049586777
84,능동,4,11097.0,0.0003604577813823556,0.036045778138235555
85,신도림동,4,35998.0,0.00011111728429357187,0.011111728429357186
86,잠원동,3,50584.0,5.9307290842954294e-05,0.005930729084295429
87,전농동,3,50115.0,5.986231667165519e-05,0.005986231667165519
88,상월곡동,3,9090.0,0.00033003300330033004,0.033003300330033
89,암사동,3,65775.0,4.561003420752566e-05,0.004561003420752566
90,군자동,3,19070.0,0.00015731515469323546,0.015731515469323547
91,명륜1가,3,4207.0,0.0007130972189208462,0.07130972189208462
92,번동,3,48603.0,6.172458490216653e-05,0.006172458490216653
93,오류동,3,43725.0,6.86106346483705e-05,0.00686106346483705
94,옥인동,3,1863.0,0.001610305958132045,0.1610305958132045
95,화동,3,203.0,0.014778325123152709,1.477832512315271
96,중곡동,3,79081.0,3.79357873572666e-05,0.00379357873572666
97,개봉동,3,82438.0,3.639098474004706e-05,0.003639098474004706
98,신문로2가,3,712.0,0.004213483146067416,0.42134831460674155
99,회현동1가,3,3211.0,0.0009342883836810962,0.09342883836810963
100,자곡동,3,27333.0,0.0001097574360662935,0.010975743606629349
101,연건동,3,1599.0,0.001876172607879925,0.18761726078799248
102,고척동,3,52187.0,5.748558070017437e-05,0.005748558070017437
103,청량리동,3,18742.0,0.00016006829580621066,0.016006829580621065
104,견지동,3,231.0,0.012987012987012988,1.2987012987012987
105,구의동,3,76577.0,3.917625396659571e-05,0.003917625396659571
106,일원동,3,47748.0,6.282985674792661e-05,0.006282985674792661
107,상봉동,3,43498.0,6.896868821555014e-05,0.006896868821555014
108,답십리동,3,55356.0,5.419466724474312e-05,0.005419466724474312
109,명륜4가,3,824.0,0.0036407766990291263,0.3640776699029126
110,창천동,3,10707.0,0.0002801905295601009,0.02801905295601009
111,방배동,3,94571.0,3.1722198136849564e-05,0.003172219813684956
112,묵동,3,51761.0,5.795869477019377e-05,0.0057958694770193775
113,사간동,3,129.0,0.023255813953488372,2.3255813953488373
114,성내동,3,65333.0,4.59186016255185e-05,0.00459186016255185
115,용두동,3,34744.0,8.634584388671425e-05,0.008634584388671426
116,창신동,3,18376.0,0.0001632564214192425,0.016325642141924248
117,등촌동,3,73691.0,4.071053452931837e-05,0.004071053452931837
118,행당동,3,41789.0,7.178922683002704e-05,0.007178922683002704
119,신천동,3,37715.0,7.954394803128728e-05,0.007954394803128728
120,예장동,3,778.0,0.0038560411311053984,0.3856041131105398
121,상수동,3,7409.0,0.00040491294371710083,0.04049129437171008
122,동교동,3,3487.0,0.0008603383997705764,0.08603383997705764
123,경운동,2,255.0,0.00784313725490196,0.7843137254901961
124,내곡동,2,8258.0,0.0002421893921046258,0.02421893921046258
125,하월곡동,2,38970.0,5.132152938157557e-05,0.005132152938157557
126,역촌동,2,43804.0,4.5657930782576936e-05,0.004565793078257694
127,화곡동,2,217411.0,9.19916655551007e-06,0.000919916655551007
128,신설동,2,3666.0,0.0005455537370430987,0.05455537370430987
129,만리동1가,2,1320.0,0.0015151515151515152,0.15151515151515152
130,이화동,2,1681.0,0.001189767995240928,0.1189767995240928
131,불광동,2,64177.0,3.116381258083114e-05,0.003116381258083114
132,망원동,2,37081.0,5.393597799412098e-05,0.005393597799412098
133,길동,2,44675.0,4.476776720761052e-05,0.0044767767207610516
134,청운동,2,2289.0,0.0008737439930100481,0.08737439930100481
135,홍지동,2,1564.0,0.0012787723785166241,0.1278772378516624
136,풍납동,2,35496.0,5.634437683119225e-05,0.005634437683119225
