,자치구,법정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
243,성북구,동선동1가,14.0,1193,0.01173512154233026,1.173512154233026
244,성북구,동선동2가,,2165,,
245,성북구,동선동3가,,2867,,
246,성북구,동선동4가,8.0,2059,0.003885381253035454,0.38853812530354537
247,성북구,동선동5가,,2055,,
248,성북구,안암동1가,,3901,,
249,성북구,안암동2가,2.0,2316,0.0008635578583765112,0.08635578583765112
250,성북구,안암동3가,,3668,,
251,성북구,안암동4가,,997,,
252,성북구,안암동5가,22.0,4033,0.005454996280684354,0.5454996280684354
253,성북구,보문동4가,2.0,940,0.002127659574468085,0.2127659574468085
254,성북구,보문동5가,6.0,1788,0.003355704697986577,0.33557046979865773
255,성북구,보문동6가,,6156,,
256,성북구,보문동7가,2.0,1019,0.001962708537782139,0.19627085377821393
257,성북구,보문동1가,,1698,,
258,성북구,보문동2가,2.0,2014,0.0009930486593843098,0.09930486593843098
259,성북구,보문동3가,,2555,,
260,성북구,정릉동,48.0,77990,0.0006154635209642262,0.06154635209642262
261,성북구,길음동,36.0,54096,0.0006654835847382431,0.06654835847382432
262,성북구,종암동,36.0,37683,0.0009553379508000956,0.09553379508000956
263,성북구,하월곡동,56.0,38970,0.001437002822684116,0.1437002822684116
264,성북구,상월곡동,,9090,,
265,성북구,장위동,40.0,52017,0.0007689793721283426,0.07689793721283426
266,성북구,석관동,30.0,33790,0.0008878366380585972,0.08878366380585972
267,강북구,미아동,142.0,127245,0.0011159574050060906,0.11159574050060907
268,강북구,번동,42.0,48603,0.0008641441886303315,0.08641441886303315
269,강북구,수유동,110.0,101608,0.0010825919218959137,0.10825919218959137
270,강북구,우이동,12.0,10657,0.0011260204560382848,0.11260204560382847
271,도봉구,쌍문동,62.0,73064,0.0008485711157341509,0.08485711157341509
272,도봉구,방학동,54.0,72382,0.0007460418336050399,0.07460418336050399
273,도봉구,창동,80.0,115472,0.0006928086462519052,0.06928086462519052
274,도봉구,도봉동,30.0,46030,0.000651748859439496,0.0651748859439496
275,노원구,월계동,52.0,74760,0.0006955591225254146,0.06955591225254146
276,노원구,공릉동,80.0,77450,0.0010329244673983216,0.10329244673983216
277,노원구,하계동,34.0,47450,0.0007165437302423603,0.07165437302423604
278,노원구,상계동,212.0,197542,0.001073189498941997,0.10731894989419971
279,노원구,중계동,80.0,101011,0.0007919929512627338,0.07919929512627338
280,은평구,수색동,12.0,20441,0.0005870554278166431,0.05870554278166431
281,은평구,녹번동,24.0,36111,0.000664617429592091,0.0664617429592091
282,은평구,불광동,52.0,64177,0.0008102591271016096,0.08102591271016096
283,은평구,갈현동,46.0,41923,0.0010972497197242563,0.10972497197242563
284,은평구,구산동,16.0,31453,0.0005086955139414365,0.05086955139414365
285,은평구,대조동,48.0,27369,0.0017538090540392415,0.17538090540392415
286,은평구,응암동,94.0,83446,0.0011264770030918198,0.11264770030918199
287,은평구,역촌동,34.0,43804,0.0007761848233038079,0.0776184823303808
288,은평구,신사동,30.0,45406,0.0006607056336167027,0.06607056336167026
289,은평구,증산동,18.0,18258,0.000985869208018403,0.0985869208018403
290,은평구,진관동,50.0,54382,0.0009194218675296973,0.09194218675296972
291,서대문구,충정로2가,6.0,1126,0.0053285968028419185,0.5328596802841918
292,서대문구,충정로3가,,4936,,
293,서대문구,합동,,1066,,
294,서대문구,미근동,2.0,435,0.004597701149425287,0.45977011494252873
295,서대문구,냉천동,4.0,3046,0.0013131976362442547,0.13131976362442546
296,서대문구,천연동,,4540,,
297,서대문구,옥천동,,953,,
298,서대문구,영천동,6.0,2963,0.0020249746878164025,0.20249746878164024
299,서대문구,현저동,,5084,,
300,서대문구,북아현동,18.0,27560,0.0006531204644412192,0.06531204644412192
301,서대문구,홍제동,62.0,55575,0.0011156095366621683,0.11156095366621684
302,서대문구,대현동,12.0,6760,0.0017751479289940828,0.17751479289940827
303,서대문구,대신동,10.0,1561,0.0064061499039077515,0.6406149903907752
304,서대문구,신촌동,2.0,838,0.002386634844868735,0.23866348448687352
305,서대문구,봉원동,,374,,
306,서대문구,창천동,34.0,10707,0.0031754926683478096,0.31754926683478096
307,서대문구,연희동,30.0,33990,0.00088261253309797,0.088261253309797
308,서대문구,홍은동,26.0,50700,0.0005128205128205128,0.05128205128205128
309,서대문구,북가좌동,36.0,48242,0.0007462377181708884,0.07462377181708883
310,서대문구,남가좌동,44.0,45775,0.0009612233752048061,0.0961223375204806
311,마포구,아현동,26.0,28150,0.0009236234458259325,0.09236234458259325
312,마포구,공덕동,30.0,25540,0.0011746280344557558,0.11746280344557558
313,마포구,신공덕동,14.0,12401,0.001128941214418192,0.1128941214418192
314,마포구,도화동,38.0,21429,0.0017732978673759858,0.17732978673759858
315,마포구,용강동,6.0,7416,0.0008090614886731392,0.08090614886731393
316,마포구,토정동,,1248,,
317,마포구,마포동,2.0,2662,0.0007513148009015778,0.07513148009015778
318,마포구,대흥동,28.0,16364,0.0017110730872647274,0.17110730872647273
319,마포구,염리동,10.0,18042,0.0005542622769094336,0.05542622769094335
320,마포구,노고산동,20.0,5832,0.003429355281207133,0.3429355281207133
321,마포구,신수동,14.0,15386,0.0009099181073703367,0.09099181073703368
322,마포구,현석동,,4979,,
323,마포구,구수동,2.0,757,0.002642007926023778,0.26420079260237783
324,마포구,창전동,8.0,14683,0.0005448477831505824,0.054484778315058234
325,마포구,상수동,6.0,7409,0.0008098258874342017,0.08098258874342017
326,마포구,하중동,,1463,,
327,마포구,신정동,,1540,,
328,마포구,당인동,,1017,,
329,마포구,서교동,36.0,19321,0.0018632575953625588,0.18632575953625588
330,마포구,동교동,26.0,3487,0.007456266131344996,0.7456266131344996
331,마포구,합정동,18.0,16338,0.0011017260374586854,0.11017260374586854
332,마포구,망원동,36.0,37081,0.0009708476038941777,0.09708476038941777
333,마포구,연남동,2.0,14227,0.00014057777465382724,0.014057777465382724
334,마포구,성산동,22.0,47572,0.00046245690742453545,0.04624569074245354
335,마포구,중동,12.0,9692,0.0012381345439537762,0.12381345439537762
336,마포구,상암동,32.0,29661,0.0010788577593472911,0.10788577593472912
337,양천구,신정동,118.0,172038,0.0006858949766911962,0.06858949766911962
338,양천구,목동,148.0,145532,0.0010169584696149302,0.10169584696149302
339,양천구,신월동,102.0,118458,0.0008610646811528137,0.08610646811528136
340,강서구,염창동,30.0,41285,0.0007266561705219813,0.07266561705219814
341,강서구,등촌동,82.0,73691,0.0011127546104680354,0.11127546104680354
342,강서구,화곡동,176.0,217411,0.0008095266568848862,0.08095266568848862
343,강서구,가양동,34.0,43227,0.0007865454461332038,0.07865454461332037
344,강서구,마곡동,90.0,54028,0.0016658029170059968,0.16658029170059968
345,강서구,내발산동,48.0,44623,0.0010756784617797996,0.10756784617797996
346,강서구,외발산동,,950,,
347,강서구,공항동,16.0,17259,0.000927052552291558,0.0927052552291558
348,강서구,방화동,52.0,68913,0.0007545746085644218,0.07545746085644217
349,강서구,개화동,,1649,,
350,강서구,오곡동,,12,,
351,강서구,오쇠동,,10,,
352,구로구,신도림동,26.0,35998,0.0007222623479082171,0.07222623479082171
353,구로구,구로동,168.0,114017,0.0014734644833665155,0.14734644833665156
354,구로구,가리봉동,10.0,8766,0.0011407711613050423,0.11407711613050422
355,구로구,고척동,42.0,52187,0.0008047981298024413,0.08047981298024413
356,구로구,개봉동,56.0,82438,0.0006792983818142119,0.06792983818142119
357,구로구,오류동,32.0,43725,0.0007318467695826186,0.07318467695826186
358,구로구,궁동,4.0,13963,0.0002864713886700566,0.028647138867005657
359,구로구,온수동,4.0,8757,0.00045677743519470136,0.04567774351947013
360,구로구,천왕동,4.0,16219,0.0002466243294901042,0.024662432949010417
361,구로구,항동,2.0,16335,0.0001224364860728497,0.012243648607284972
362,금천구,가산동,44.0,24695,0.0017817371937639199,0.17817371937639198
363,금천구,독산동,94.0,102277,0.0009190727142954916,0.09190727142954916
364,금천구,시흥동,124.0,100509,0.0012337203633505458,0.12337203633505459
365,영등포구,영등포동,14.0,13734,0.0010193679918450561,0.10193679918450561
366,영등포구,영등포동1가,,4005,,
367,영등포구,영등포동2가,8.0,4224,0.001893939393939394,0.1893939393939394
368,영등포구,영등포동3가,14.0,1899,0.00737230121116377,0.737230121116377
369,영등포구,영등포동4가,26.0,1350,0.01925925925925926,1.925925925925926
370,영등포구,영등포동5가,14.0,1802,0.00776914539400666,0.776914539400666
371,영등포구,영등포동6가,6.0,1876,0.0031982942430703624,0.31982942430703626
372,영등포구,영등포동7가,4.0,9893,0.0004043262913170929,0.04043262913170929
373,영등포구,영등포동8가,6.0,4967,0.0012079726192872962,0.12079726192872962
374,영등포구,여의도동,106.0,33350,0.0031784107946026987,0.31784107946026985
375,영등포구,당산동1가,10.0,6679,0.0014972301242701003,0.14972301242701003
376,영등포구,당산동2가,4.0,5396,0.0007412898443291327,0.07412898443291327
377,영등포구,당산동3가,8.0,8941,0.0008947545017335869,0.08947545017335869
378,영등포구,당산동4가,10.0,12158,0.0008225037012666557,0.08225037012666557
379,영등포구,당산동5가,14.0,12936,0.0010822510822510823,0.10822510822510822
380,영등포구,당산동6가,12.0,3372,0.0035587188612099642,0.3558718861209964
381,영등포구,당산동,,8221,,
382,영등포구,도림동,14.0,17579,0.00079640480118323,0.079640480118323
383,영등포구,문래동1가,,255,,
384,영등포구,문래동2가,2.0,1097,0.0018231540565177757,0.18231540565177756
385,영등포구,문래동3가,20.0,13510,0.0014803849000740192,0.1480384900074019
386,영등포구,문래동4가,2.0,1932,0.0010351966873706005,0.10351966873706005
387,영등포구,문래동5가,,4592,,
388,영등포구,문래동6가,8.0,10728,0.0007457121551081282,0.07457121551081282
389,영등포구,양평동1가,,4951,,
390,영등포구,양평동2가,6.0,7060,0.0008498583569405099,0.08498583569405099
391,영등포구,양평동3가,4.0,12013,0.00033297261300258056,0.033297261300258056
392,영등포구,양평동4가,8.0,6687,0.001196351129056378,0.1196351129056378
393,영등포구,양평동5가,6.0,5892,0.0010183299389002036,0.10183299389002036
394,영등포구,양평동6가,,4076,,
395,영등포구,신길동,102.0,102573,0.0009944137346085226,0.09944137346085226
396,영등포구,대림동,88.0,47046,0.001870509713897037,0.1870509713897037
397,동작구,노량진동,38.0,31412,0.0012097287660766587,0.12097287660766587
398,동작구,상도동,94.0,113674,0.000826926122068371,0.0826926122068371
399,동작구,상도1동,14.0,9631,0.0014536392897933756,0.14536392897933756
400,동작구,본동,4.0,10796,0.0003705075954057058,0.037050759540570584
401,동작구,흑석동,48.0,29961,0.0016020827075197757,0.16020827075197758
402,동작구,동작동,,5553,,
403,동작구,사당동,88.0,96784,0.0009092411968920483,0.09092411968920483
404,동작구,대방동,34.0,35638,0.0009540378247937595,0.09540378247937595
405,동작구,신대방동,46.0,45320,0.0010150044130626656,0.10150044130626656
406,관악구,봉천동,204.0,221775,0.0009198512005410889,0.09198512005410889
407,관악구,신림동,202.0,242494,0.000833010301285805,0.0833010301285805
408,관악구,남현동,12.0,17687,0.0006784644088878838,0.06784644088878838
409,서초구,방배동,90.0,94571,0.0009516659441054869,0.09516659441054869
410,서초구,양재동,48.0,35620,0.001347557551937114,0.13475575519371139
411,서초구,우면동,10.0,27411,0.00036481704425230747,0.03648170442523074
412,서초구,원지동,,253,,
413,서초구,잠원동,48.0,50584,0.0009489166534872687,0.09489166534872687
414,서초구,반포동,78.0,75816,0.00102880658436214,0.102880658436214
415,서초구,서초동,212.0,106213,0.001995989191530227,0.19959891915302272
416,서초구,내곡동,8.0,8258,0.0009687575684185032,0.09687575684185032
417,서초구,염곡동,,998,,
418,서초구,신원동,2.0,7940,0.00025188916876574307,0.025188916876574305
419,강남구,역삼동,192.0,70529,0.0027222844503679336,0.2722284450367934
420,강남구,개포동,68.0,75386,0.0009020242485342106,0.09020242485342106
421,강남구,청담동,52.0,24629,0.002111332169393804,0.21113321693938042
422,강남구,삼성동,74.0,42743,0.0017312776361041574,0.17312776361041574
423,강남구,대치동,112.0,80762,0.0013867908174636586,0.13867908174636587
424,강남구,신사동,144.0,10796,0.01333827343460541,1.333827343460541
425,강남구,논현동,140.0,41447,0.0033778078027360244,0.3377807802736024
426,강남구,압구정동,12.0,30226,0.0003970091973797393,0.03970091973797393
427,강남구,세곡동,12.0,14391,0.0008338544923910778,0.08338544923910778
428,강남구,자곡동,12.0,27333,0.000439029744265174,0.043902974426517395
429,강남구,율현동,,3807,,
430,강남구,일원동,58.0,47748,0.001214710563793248,0.12147105637932479
431,강남구,수서동,26.0,21861,0.0011893326014363477,0.11893326014363477
432,강남구,도곡동,62.0,53215,0.0011650850324156723,0.11650850324156722
433,송파구,잠실동,108.0,105885,0.001019974500637484,0.1019974500637484
434,송파구,신천동,68.0,37715,0.001802996155375845,0.1802996155375845
435,송파구,풍납동,66.0,35496,0.0018593644354293441,0.18593644354293443
436,송파구,송파동,46.0,41914,0.0010974853270983443,0.10974853270983444
437,송파구,석촌동,52.0,30766,0.0016901774686342067,0.16901774686342066
438,송파구,삼전동,30.0,29075,0.0010318142734307824,0.10318142734307824
439,송파구,가락동,94.0,83866,0.001120835618725109,0.11208356187251091
440,송파구,문정동,70.0,61417,0.0011397495807349757,0.11397495807349757
441,송파구,장지동,16.0,43216,0.00037023324694557573,0.037023324694557574
442,송파구,방이동,62.0,59160,0.0010480054090601758,0.10480054090601758
443,송파구,오금동,26.0,37413,0.0006949456071419026,0.06949456071419026
444,송파구,거여동,32.0,52677,0.0006074757484291057,0.06074757484291057
