,자치구,법정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
439,송파구,가락동,1.0,83866,1.1923783177926693e-05,0.0011923783177926694
440,송파구,문정동,2.0,61417,3.256427373528502e-05,0.0032564273735285016
441,송파구,장지동,2.0,43216,4.6279155868196966e-05,0.004627915586819697
442,송파구,방이동,5.0,59160,8.451656524678837e-05,0.008451656524678837
443,송파구,오금동,1.0,37413,2.6728677197765484e-05,0.0026728677197765485
444,송파구,거여동,2.0,52677,3.7967234276819106e-05,0.003796723427681911
445,송파구,마천동,1.0,35566,2.8116740707417195e-05,0.0028116740707417195
446,강동구,명일동,,42314,,
447,강동구,고덕동,2.0,46758,4.277342914581462e-05,0.004277342914581462
448,강동구,상일동,1.0,51053,1.958748751297671e-05,0.0019587487512976714
449,강동구,길동,2.0,44675,4.476776720761052e-05,0.0044767767207610516
450,강동구,둔촌동,,24349,,
451,강동구,암사동,3.0,65775,4.561003420752566e-05,0.004561003420752566
452,강동구,성내동,3.0,65333,4.59186016255185e-05,0.00459186016255185
453,강동구,천호동,4.0,84811,4.716369338882928e-05,0.0047163693388829276
454,강동구,강일동,,34099,,
