,법정동,자치구,공원면적,인구,1인 당 공원면적(m^2/명)
396,대림동,영등포구,24146.0,47046,0.5132423585427028
397,노량진동,동작구,461035.0,31412,14.67703425442506
398,상도동,동작구,371998.6,113674,3.272503826732586
399,상도1동,동작구,2990.7,9631,0.3105285017132177
400,본동,동작구,84081.5,10796,7.788208595776213
401,흑석동,동작구,4319.8,29961,0.14418076833216514
402,동작동,동작구,44874.3,5553,8.08109130199892
403,사당동,동작구,1155880.1,96784,11.942884154405688
404,대방동,동작구,4796.6,35638,0.1345922891295808
405,신대방동,동작구,6365.0,45320,0.14044571932921449
406,봉천동,관악구,170137.0,221775,0.7671604103257806
407,신림동,관악구,156480.0,242494,0.6452943165604097
408,남현동,관악구,7463.0,17687,0.42194832362752305
409,방배동,서초구,4779875.65,94571,50.5427208129342
410,양재동,서초구,236434.3,35620,6.637683885457608
411,우면동,서초구,230938.69999999998,27411,8.425037393747035
412,원지동,서초구,3652737.4,253,14437.697233201581
413,잠원동,서초구,40509.2,50584,0.8008303020718013
414,반포동,서초구,74244.1,75816,0.979266909359502
415,서초동,서초구,319107.89999999997,106213,3.0044147138297568
416,내곡동,서초구,20434.0,8258,2.474449019132962
417,염곡동,서초구,2020.0,998,2.024048096192385
418,신원동,서초구,2266807.0,7940,285.4920654911839
419,역삼동,강남구,53987.9,70529,0.7654709410313488
420,개포동,강남구,415941.5,75386,5.5174899848778285
421,청담동,강남구,80034.9,24629,3.249620366234926
422,삼성동,강남구,85654.7,42743,2.0039468450974427
423,대치동,강남구,61582.8,80762,0.7625219781580447
424,신사동,강남구,35683.7,10796,3.305270470544646
425,논현동,강남구,40555.2,41447,0.9784833642965715
426,압구정동,강남구,19106.6,30226,0.6321246608879771
427,세곡동,강남구,159739.2,14391,11.099937460913072
428,자곡동,강남구,122097.9,27333,4.467050817692899
429,율현동,강남구,7717.0,3807,2.0270554242185446
430,일원동,강남구,68338.2,47748,1.4312264388037195
431,수서동,강남구,589675.3,21861,26.97384840583688
432,도곡동,강남구,290928.3,53215,5.467035610260265
433,잠실동,송파구,117996.40000000001,105885,1.1143825848798226
434,신천동,송파구,325087.3,37715,8.619575765610499
435,풍납동,송파구,31137.6,35496,0.8772143340094658
436,송파동,송파구,26621.5,41914,0.6351457746814907
437,석촌동,송파구,52338.5,30766,1.701179873886758
438,삼전동,송파구,14453.4,29075,0.49710748065348237
439,가락동,송파구,102882.40000000001,83866,1.2267474304247252
440,문정동,송파구,204078.0,61417,3.322825927674748
441,장지동,송파구,322979.1,43216,7.473600055534987
442,방이동,송파구,1496661.9000000001,59160,25.29854462474645
443,오금동,송파구,282215.2,37413,7.543238981102825
444,거여동,송파구,278660.1,52677,5.289976650150919
445,마천동,송파구,290884.2,35566,8.178715627284486
446,명일동,강동구,,42314,
447,고덕동,강동구,11491.0,46758,0.24575473715727789
448,상일동,강동구,670919.6,51053,13.141629287211329
449,길동,강동구,3979.6,44675,0.0890789031897034
450,둔촌동,강동구,632733.0,24349,25.985995318082878
451,암사동,강동구,1022.0,65775,0.015537818320030407
452,성내동,강동구,,65333,
453,천호동,강동구,,84811,
454,강일동,강동구,211206.1,34099,6.193908912284818
